width range
min width 5
max width 5
data file name range
Data file name range after
Read file
open log file
MOTIFWIDTH 5
  f = 590.864
  f = 588.279
  f = 569.919
  f = 563.291
  f = 552.638
  f = 548.379
  f = 545.139
  f = 544.187
  f = 542.826
  f = 542.338
  f = 541.691
  f = 541.394
  f = 541.179
  f = 541.062
  f = 541.051
  f = 540.945
  f = 540.708
  f = 539.677
  f = 514.131
  f = 491.279
  f = 490.35
  f = 488.461
  f = 487.647
  f = 485.855
  f = 484.933
  f = 484.01
  f = 482.98
  f = 481.934
  f = 480.12
  f = 475.702
  f = 472.311
  f = 468.722
  f = 466.615
  f = 464.461
  f = 463.613
  f = 463.248
  f = 461.751
  f = 461.004
  f = 460.7
  f = 460.614
  f = 460.323
  f = 457.471
  f = 449.978
  f = 444.214
  f = 440.981
  f = 439.393
  f = 437.702
  f = 435.297
  f = 434.727
  f = 434.647
  f = 434.416
  f = 434.31
  f = 433.839
  f = 432.52
  f = 432.33
  f = 431.497
  f = 431.168
  f = 430.933
  f = 430.238
  f = 422.37
  f = 420.935
  f = 420.237
  f = 419.98
  f = 419.909
  f = 419.644
  f = 418.971
  f = 416.699
  f = 414.705
  f = 414.064
  f = 413.754
  f = 413.377
  f = 413.254
  f = 413.161
  f = 412.674
  f = 411.738
  f = 409.241
  f = 404.699
  f = 404.05
  f = 401.154
  f = 398.606
  f = 395.378
  f = 394.358
  f = 393.293
  f = 392.909
  f = 392.435
  f = 391.558
  f = 389.864
  f = 389.572
  f = 386.381
  f = 382.093
  f = 381.985
  f = 380.892
  f = 380.496
  f = 379.557
  f = 379.187
  f = 378.87
  f = 378.268
  f = 378.081
  f = 377.827
  f = 377.668
  f = 377.008
  f = 376.663
  f = 376.595
  f = 376.447
  f = 376.213
  f = 375.494
  f = 374.402
  f = 370.405
  f = 369.983
  f = 368.899
  f = 368.025
  f = 367.877
  f = 367.422
  f = 366.589
  f = 365.983
  f = 363.775
  f = 362.57
  f = 360.89
  f = 359.367
  f = 357.035
  f = 354.84
  f = 353.926
  f = 352.927
  f = 352.291
  f = 350.777
  f = 350.152
  f = 349.201
  f = 347.688
  f = 346.215
  f = 343.888
  f = 342.671
  f = 340.992
  f = 337.066
  f = 332.603
  f = 327.928
  f = 324.15
  f = 320.792
  f = 320.032
  f = 319.714
  f = 319.449
  f = 318.427
  f = 316.637
  f = 314.392
  f = 313.526
  f = 312.415
  f = 311.755
  f = 311.204
  f = 309.953
  f = 308.592
  f = 306.139
  f = 305.294
  f = 304.732
  f = 304.486
  f = 304.065
  f = 303.243
  f = 301.826
  f = 301.674
  f = 301.315
  f = 300.751
  f = 300.662
  f = 300.521
  f = 300.325
  f = 299.901
  f = 299.635
  f = 298.669
  f = 298.5
  f = 297.769
  f = 296.598
  f = 293.678
  f = 292.61
  f = 291.774
  f = 291.411
  f = 291.333
  f = 290.711
  f = 288.984
  f = 287.587
  f = 286.882
  f = 286.73
  f = 286.447
  f = 286.286
  f = 285.892
  f = 285.615
  f = 285.122
  f = 284.843
  f = 284.744
  f = 284.559
  f = 284.514
  f = 284.211
  f = 283.258
  f = 282.688
  f = 281.328
  f = 280.587
  f = 278.659
  f = 278.384
  f = 276.343
  f = 274.973
  f = 273.062
  f = 272.906
  f = 272.531
  f = 272.434
  f = 272.278
  f = 271.864
  f = 270.945
  f = 270.772
  f = 270.393
  f = 270.173
  f = 269.931
  f = 268.18
  f = 265.939
  f = 265.63
  f = 263.996
  f = 263.3
  f = 261.627
  f = 259.564
  f = 258.332
  f = 258.16
  f = 258.052
  f = 257.758
  f = 256.971
  f = 255.891
  f = 253.547
  f = 253.429
  f = 251.784
  f = 249.617
  f = 248.946
  f = 248.477
  f = 247.653
  f = 246.412
  f = 244.557
  f = 243.283
  f = 240.983
  f = 240.265
  f = 239.837
  f = 239.532
  f = 239.164
  f = 238.853
  f = 238.489
  f = 238.084
  f = 237.357
  f = 236.513
  f = 236.322
  f = 235.372
  f = 234.653
  f = 233.701
  f = 233.242
  f = 232.804
  f = 232.555
  f = 232.371
  f = 232.222
  f = 232.086
  f = 231.936
  f = 231.794
  f = 231.272
  f = 230.427
  f = 230.021
  f = 228.971
  f = 227.424
  f = 226.347
  f = 225.78
  f = 225.496
  f = 224.743
  f = 224.31
  f = 223.83
  f = 222.595
  f = 221.004
  f = 220.449
  f = 220.303
  f = 219.837
  f = 219.691
  f = 219.485
  f = 219.345
  f = 219.066
  f = 218.58
  f = 217.712
  f = 217.498
  f = 216.679
  f = 216.266
  f = 216.172
  f = 215.99
  f = 215.669
  f = 215.03
  f = 214.337
  f = 213.215
  f = 212.349
  f = 211.777
  f = 210.617
  f = 209.161
  f = 208.825
  f = 208.088
  f = 207.974
  f = 207.477
  f = 205.802
  f = 203.876
  f = 203.583
  f = 202.417
  f = 202.197
  f = 201.682
  f = 201.466
  f = 200.256
  f = 200.037
  f = 199.904
  f = 199.316
  f = 198.704
  f = 197.736
  f = 196.982
  f = 196.812
  f = 196.325
  f = 196.133
  f = 195.937
  f = 195.626
  f = 194.758
  f = 194.043
  f = 192.644
  f = 191.695
  f = 190.346
  f = 189.296
  f = 188.66
  f = 188.258
  f = 188.064
  f = 187.959
  f = 187.797
  f = 187.352
  f = 186.468
  f = 186.183
  f = 184.991
  f = 184.151
  f = 183.799
  f = 183.5
  f = 182.974
  f = 182.77
  f = 182.179
  f = 181.341
  f = 180.667
  f = 180.417
  f = 179.902
  f = 179.081
  f = 178.114
  f = 177.492
  f = 175.239
  f = 173.945
  f = 173.65
  f = 172.715
  f = 172.585
  f = 172.46
  f = 172.332
  f = 172.025
  f = 171.932
  f = 171.238
  f = 170.177
  f = 169.358
  f = 167.776
  f = 167.126
  f = 166.765
  f = 166.463
  f = 165.837
  f = 165.505
  f = 164.644
  f = 163.742
  f = 163.523
  f = 162.632
  f = 161.986
  f = 161.655
  f = 161.008
  f = 160.157
  f = 159.648
  f = 158.905
  f = 158.243
  f = 158.002
  f = 157.67
  f = 156.386
  f = 156.081
  f = 155.431
  f = 154.894
  f = 154.508
  f = 154.246
  f = 154.021
  f = 153.926
  f = 153.7
  f = 152.973
  f = 152.254
  f = 152.165
  f = 151.756
  f = 151.695
  f = 151.474
  f = 151.257
  f = 151.043
  f = 150.186
  f = 149.643
  f = 149.29
  f = 149.051
  f = 148.833
  f = 148.344
  f = 147.434
  f = 147.348
  f = 147.102
  f = 146.873
  f = 146.692
  f = 146.427
  f = 145.882
  f = 145.449
  f = 145.073
  f = 144.537
  f = 144.434
  f = 144.364
  f = 144.198
  f = 143.934
  f = 143.365
  f = 143.162
  f = 142.328
  f = 142.26
  f = 142.018
  f = 141.745
  f = 141.343
  f = 140.905
  f = 140.274
  f = 139.927
  f = 139.606
  f = 139.321
  f = 138.904
  f = 137.697
  f = 137.558
  f = 137.416
  f = 137.327
  f = 137.233
  f = 136.919
  f = 136.438
  f = 136.209
  f = 135.578
  f = 135.153
  f = 134.203
  f = 133.758
  f = 133.356
  f = 132.932
  f = 132.863
  f = 132.523
  f = 132.441
  f = 132.245
  f = 132.185
  f = 132.07
  f = 131.131
  f = 130.754
  f = 130.074
  f = 129.425
  f = 129.244
  f = 128.915
  f = 128.323
  f = 127.458
  f = 125.919
  f = 125.733
  f = 125.524
  f = 125.339
  f = 125.108
  f = 124.6
  f = 124.42
  f = 124.224
  f = 123.757
  f = 123.654
  f = 123.585
  f = 123.461
  f = 123.087
  f = 122.517
  f = 122.428
  f = 122.075
  f = 121.685
  f = 121.586
  f = 121.419
  f = 120.975
  f = 120.267
  f = 119.478
  f = 118.361
  f = 117.947
  f = 117.841
  f = 117.559
  f = 117.269
  f = 115.962
  f = 115.143
  f = 114.529
  f = 114.364
  f = 114.026
  f = 113.912
  f = 113.679
  f = 113.169
  f = 112.285
  f = 112.213
  f = 111.635
  f = 111.514
  f = 111.311
  f = 110.048
  f = 109.025
  f = 108.851
  f = 108.255
  f = 108.214
  f = 108.197
  f = 107.958
  f = 107.527
  f = 107.495
  f = 106.946
  f = 106.889
  f = 106.485
  f = 106.03
  f = 105.391
  f = 105.277
  f = 104.83
  f = 104.719
  f = 104.583
  f = 104.116
  f = 103.214
  f = 103.178
  f = 102.737
  f = 102.6
  f = 102.018
  f = 101.566
  f = 100.924
  f = 100.676
  f = 100.435
  f = 100.395
  f = 100.367
  f = 100.265
  f = 100.16
  f = 99.465
  f = 98.2879
  f = 98.2399
  f = 98.0051
  f = 97.8847
  f = 97.8
  f = 97.6841
  f = 97.4812
  f = 97.2151
  f = 96.9643
  f = 96.8228
  f = 96.6723
  f = 96.5178
  f = 96.3709
  f = 96.069
  f = 96.0082
  f = 95.8044
  f = 95.5904
  f = 95.0119
  f = 94.4841
  f = 94.1322
  f = 94.0893
  f = 93.9908
  f = 93.9244
  f = 93.8854
  f = 93.6308
  f = 93.3585
  f = 93.2495
  f = 92.9538
  f = 92.8522
  f = 92.7742
  f = 92.7163
  f = 92.639
  f = 92.5196
  f = 92.3685
  f = 92.25
  f = 92.0768
  f = 91.9553
  f = 91.773
  f = 91.4845
  f = 91.471
  f = 91.4434
  f = 91.3481
  f = 91.2615
  f = 90.8281
  f = 90.5073
  f = 90.2229
  f = 90.1538
  f = 89.9113
  f = 89.7693
  f = 89.4945
  f = 89.1894
  f = 88.9489
  f = 88.9058
  f = 88.8281
  f = 88.7959
  f = 88.6836
  f = 88.5408
  f = 88.3741
  f = 87.9536
  f = 87.7912
  f = 87.5675
  f = 87.4887
  f = 87.4312
  f = 87.3064
  f = 86.6344
  f = 86.501
  f = 86.3574
  f = 86.2346
  f = 86.1904
  f = 86.0888
  f = 85.5498
  f = 84.8628
  f = 84.4551
  f = 83.5933
  f = 83.3399
  f = 83.2721
  f = 83.1032
  f = 82.2191
  f = 82.1657
  f = 81.8564
  f = 81.7038
  f = 81.6009
  f = 81.4455
  f = 81.3147
  f = 81.2563
  f = 81.1065
  f = 81.0173
  f = 80.7568
  f = 80.5449
  f = 80.3737
  f = 79.8431
  f = 79.2974
  f = 78.013
  f = 77.3489
  f = 77.3071
  f = 77.1948
  f = 76.6902
  f = 75.9886
  f = 75.8827
  f = 75.3719
  f = 75.2195
  f = 74.7678
  f = 74.1794
  f = 74.0417
  f = 73.9673
  f = 73.5162
  f = 73.2016
  f = 72.7032
  f = 72.4794
  f = 72.3571
  f = 72.2955
  f = 71.8989
  f = 71.4662
  f = 71.4311
  f = 71.0972
  f = 70.9411
  f = 70.7919
  f = 70.6147
  f = 70.3772
  f = 70.3514
  f = 70.2323
  f = 70.0144
  f = 69.7579
  f = 69.0869
  f = 68.2191
  f = 68.2013
  f = 68.1108
  f = 67.911
  f = 67.7258
  f = 67.4812
  f = 66.7339
  f = 66.7115
  f = 66.4305
  f = 66.2154
  f = 66.0986
  f = 65.9748
  f = 65.8554
  f = 65.4249
  f = 65.1484
  f = 64.835
  f = 64.75
  f = 64.5611
  f = 64.4788
  f = 64.4075
  f = 64.3679
  f = 64.3163
  f = 64.1198
  f = 64.0675
  f = 63.9553
  f = 63.3616
  f = 63.1228
  f = 63.0418
  f = 62.9913
  f = 62.9038
  f = 62.6648
  f = 62.3537
  f = 62.2516
  f = 62.1224
  f = 61.705
  f = 61.2093
  f = 60.4448
  f = 60.351
  f = 59.7646
  f = 59.6647
  f = 59.6185
  f = 59.5426
  f = 59.145
  f = 58.5947
  f = 58.4968
  f = 58.2076
  f = 58.0918
  f = 58.0521
  f = 58.0067
  f = 57.8334
  f = 57.5436
  f = 57.465
  f = 57.0263
  f = 56.9005
  f = 56.7926
  f = 56.7226
  f = 56.6108
  f = 56.3988
  f = 56.2444
  f = 55.9312
  f = 55.6621
  f = 55.5821
  f = 55.5373
  f = 55.4079
  f = 55.1371
  f = 54.9702
  f = 54.8795
  f = 54.6964
  f = 54.4925
  f = 54.1171
  f = 53.9515
  f = 53.8619
  f = 53.8165
  f = 53.5618
  f = 53.5143
  f = 53.306
  f = 53.2112
  f = 53.1231
  f = 52.9755
  f = 52.761
  f = 52.3354
  f = 52.2004
  f = 51.8921
  f = 51.6337
  f = 51.3386
  f = 51.2682
  f = 51.0904
  f = 51.0399
  f = 50.8547
  f = 50.815
  f = 50.7519
  f = 50.5197
  f = 50.2986
  f = 50.2614
  f = 50.1327
  f = 50.0602
  f = 50
  f = 49.9485
  f = 49.8513
  f = 49.655
  f = 49.5766
  f = 49.5067
  f = 49.3609
  f = 49.2532
  f = 49.0332
  f = 48.6235
  f = 48.2403
  f = 48.0601
  f = 47.933
  f = 47.873
  f = 47.8444
  f = 47.7677
  f = 47.4824
  f = 47.3563
  f = 46.9729
  f = 46.3386
  f = 46.3155
  f = 46.2714
  f = 46.0654
  f = 45.9529
  f = 45.9169
  f = 45.8597
  f = 45.8285
  f = 45.7844
  f = 45.7628
  f = 45.7462
  f = 45.7196
  f = 45.639
  f = 45.5099
  f = 45.4978
  f = 45.4139
  f = 45.3253
  f = 45.3159
  f = 45.216
  f = 45.0923
  f = 44.9019
  f = 44.8808
  f = 44.7826
  f = 44.6284
  f = 44.3105
  f = 43.4486
  f = 43.1206
  f = 43.0702
  f = 42.9904
  f = 42.6501
  f = 42.508
  f = 41.6752
  f = 41.5344
  f = 41.515
  f = 41.4687
  f = 41.1843
  f = 40.9484
  f = 40.2768
  f = 39.6431
  f = 39.5323
  f = 39.1559
  f = 39.0201
  f = 38.8579
  f = 38.8049
  f = 38.2055
  f = 38.1968
  f = 38.0071
  f = 37.9367
  f = 37.9176
  f = 37.7488
  f = 37.4868
  f = 37.3832
  f = 37.1351
  f = 37.0475
  f = 37.0038
  f = 36.8894
  f = 36.7186
  f = 36.5331
  f = 36.4826
  f = 36.3818
  f = 36.2015
  f = 36.1772
  f = 36.0752
  f = 36.0451
  f = 36.0337
  f = 36.0112
  f = 35.9425
  f = 35.8309
  f = 35.757
  f = 35.5983
  f = 35.4315
  f = 35.4049
  f = 35.3641
  f = 35.2462
  f = 35.2131
  f = 34.7909
  f = 34.5412
  f = 34.4177
  f = 34.2949
  f = 34.146
  f = 34.0247
  f = 33.9272
  f = 33.8862
  f = 33.875
  f = 33.7907
  f = 33.6549
  f = 33.4466
  f = 33.3226
  f = 33.2032
  f = 33.1615
  f = 33.1519
  f = 33.0745
  f = 32.9386
  f = 32.7418
  f = 32.6878
  f = 32.622
  f = 32.4815
  f = 32.266
  f = 31.6704
  f = 31.47
  f = 31.3896
  f = 31.3148
  f = 31.2757
  f = 31.2587
  f = 31.1547
  f = 31.1106
  f = 31.0799
  f = 30.8486
  f = 30.757
  f = 30.7347
  f = 30.7204
  f = 30.6974
  f = 30.6821
  f = 30.6723
  f = 30.6176
  f = 30.5702
  f = 30.3699
  f = 30.0942
  f = 30.013
  f = 29.7617
  f = 29.5912
  f = 29.2494
  f = 29.1002
  f = 29.0432
  f = 28.8851
  f = 28.8678
  f = 28.7289
  f = 28.6419
  f = 28.6037
  f = 28.5787
  f = 28.5268
  f = 28.4491
  f = 28.241
  f = 28.1363
  f = 28.0944
  f = 28.0621
  f = 28.021
  f = 27.9883
  f = 27.9351
  f = 27.8511
  f = 27.821
  f = 27.7882
  f = 27.7253
  f = 27.6401
  f = 27.6219
  f = 27.5506
  f = 27.5063
  f = 27.4863
  f = 27.4604
  f = 27.4327
  f = 27.4227
  f = 27.3827
  f = 27.2296
  f = 27.1249
  f = 27.0515
  f = 27.0233
  f = 27.0007
  f = 26.9926
  f = 26.9459
  f = 26.8653
  f = 26.7394
  f = 26.5869
  f = 26.4548
  f = 26.4284
  f = 26.3543
  f = 26.3351
  f = 26.3011
  f = 26.2748
  f = 26.2176
  f = 26.1142
  f = 26.0575
  f = 25.9285
  f = 25.771
  f = 25.7508
  f = 25.7109
  f = 25.5723
  f = 25.2317
  f = 25.2196
  f = 25.1474
  f = 25.0999
  f = 25.0568
  f = 24.9501
  f = 24.8561
  f = 24.7827
  f = 24.6547
  f = 24.6166
  f = 24.5802
  f = 24.4191
  f = 24.3501
  f = 24.1636
  f = 24.0859
  f = 24.0704
  f = 24.0625
  f = 24.0286
  f = 23.9867
